Symbol, TimeStamp,  QuoteTimeStamp, SequenceNumber, BidTimeStamp,Bid, BidSize,  BidExchange, AskTimeStamp, Ask, AskSize, AskExchange,BidVol,MidVol,AskVol,Delta,EstDelta,Gamma,Rho,Vega,Theta,UnderlierBid,UnderlierAsk,ForwardPrice,Borrow,Reserved1,Reserved2,WMP,PFE
SPY   160617C00202500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770258,5/26/2016 8:44:58 AM,7.57,14,X,5/26/2016 8:44:57 AM,7.72,62,H,0.12846,0.1354,0.14197,0.85693,0.85693,0.03269,0.09441,0.11881,-0.03545,209.64,209.64999,208.53671,-0.00044,7.145,0.5,0,0,
SPY   160617C00203000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770183,5/26/2016 8:44:57 AM,7.11,945,A,5/26/2016 8:44:58 AM,7.27,56,Z,0.12576,0.13272,0.13894,0.8443,0.8443,0.0353,0.09124,0.12891,-0.03689,209.64,209.64999,208.53671,-0.00044,6.645,0.545,0,0,
SPY   160617C00203500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775920,5/26/2016 8:44:58 AM,6.73,904,A,5/26/2016 8:44:58 AM,6.82,50,I,0.12953,0.13301,0.13642,0.82399,0.82399,0.03806,0.09123,0.13108,-0.04005,209.63,209.64,208.5267,-0.00044,6.135,0.64,0,0,
SPY   160617C00204000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775921,5/26/2016 8:44:58 AM,6.3,584,A,5/26/2016 8:44:58 AM,6.38,10,M,0.12794,0.13095,0.13402,0.80774,0.80774,0.04094,0.09233,0.14376,-0.04186,209.63,209.64,208.5267,-0.00044,5.635,0.705,0,0,
SPY   160617C00204500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770233,5/26/2016 8:44:57 AM,5.87,900,C,5/26/2016 8:44:58 AM,5.96,92,M,0.12526,0.12828,0.13124,0.79097,0.79097,0.04391,0.08723,0.15199,-0.04315,209.64,209.64999,208.53671,-0.00044,5.145,0.77,0,0,
SPY   160617C00205000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775908,5/26/2016 8:44:58 AM,5.47,75,Q,5/26/2016 8:44:58 AM,5.53,43,Q,0.12475,0.12671,0.12867,0.76974,0.76974,0.04695,0.08801,0.15265,-0.04513,209.63,209.64,208.5267,-0.00044,4.635,0.865,0,0,
SPY   160617C00205500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770240,5/26/2016 8:44:57 AM,5.04,687,A,5/26/2016 8:44:57 AM,5.12,95,N,0.12113,0.12374,0.12628,0.75093,0.75093,0.0503,0.08833,0.1668,-0.0462,209.64,209.64999,208.53671,-0.00044,4.145,0.935,0,0,
SPY   160617C00206000,5/26/2016 8:45:00 AM,5/26/2016 8:44:59 AM,3781649,5/26/2016 8:44:59 AM,4.66,32,Z,5/26/2016 8:44:59 AM,4.7,233,M,0.12022,0.12138,0.12257,0.728,0.728,0.05355,0.08282,0.17175,-0.04741,209.64,209.64999,208.53671,-0.00044,3.645,1.035,0,0,
SPY   160617C00206500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770254,5/26/2016 8:44:57 AM,4.25,825,C,5/26/2016 8:44:57 AM,4.31,84,X,0.11696,0.11869,0.12045,0.70403,0.70403,0.05705,0.08271,0.17292,-0.04835,209.64,209.64999,208.53671,-0.00044,3.145,1.135,0,0,
SPY   160617C00207000,5/26/2016 8:45:00 AM,5/26/2016 8:44:59 AM,3781646,5/26/2016 8:44:59 AM,3.89,27,Z,5/26/2016 8:44:59 AM,3.9,75,Z,0.11614,0.11643,0.11667,0.67778,0.67778,0.06045,0.0761,0.18745,-0.04937,209.64,209.64999,208.53671,-0.00044,2.645,1.25,0,0,
SPY   160617C00207500,5/26/2016 8:45:00 AM,5/26/2016 8:44:59 AM,3781648,5/26/2016 8:44:59 AM,3.52,110,Q,5/26/2016 8:44:59 AM,3.54,395,Z,0.11361,0.11415,0.11467,0.64898,0.64898,0.06363,0.07574,0.18855,-0.04999,209.64,209.64999,208.53671,-0.00044,2.145,1.385,0,0,
SPY   160617C00208000,5/26/2016 8:45:00 AM,5/26/2016 8:44:59 AM,3781664,5/26/2016 8:44:59 AM,3.16,28,Z,5/26/2016 8:44:59 AM,3.18,497,Z,0.11147,0.112,0.11253,0.61876,0.61876,0.06688,0.07583,0.19747,-0.05065,209.64,209.64999,208.53671,-0.00044,1.645,1.525,0,0,
SPY   160617C00208500,5/26/2016 8:45:00 AM,5/26/2016 8:44:59 AM,3781665,5/26/2016 8:44:59 AM,2.82,482,Q,5/26/2016 8:44:59 AM,2.84,362,Q,0.10891,0.10941,0.10991,0.58631,0.58631,0.06974,0.06855,0.19869,-0.05046,209.64,209.64999,208.53671,-0.00044,1.145,1.685,0,0,
SPY   160617C00209000,5/26/2016 8:45:00 AM,5/26/2016 8:44:59 AM,3777528,5/26/2016 8:44:58 AM,2.49,400,Z,5/26/2016 8:44:58 AM,2.51,514,Q,0.10695,0.10743,0.10794,0.55119,0.55119,0.07234,0.06864,0.19929,-0.0505,209.63,209.64,208.5267,-0.00044,0.635,1.865,0,0,
SPY   160617C00209500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775909,5/26/2016 8:44:58 AM,2.18,54,Q,5/26/2016 8:44:58 AM,2.2,361,Q,0.10428,0.10477,0.10527,0.51501,0.51501,0.07455,0.06049,0.20311,-0.0495,209.63,209.64,208.5267,-0.00044,0.135,2.055,0,0,
SPY   160617C00210000,5/26/2016 8:45:00 AM,5/26/2016 8:44:59 AM,3781651,5/26/2016 8:44:59 AM,1.9,440,Z,5/26/2016 8:44:59 AM,1.91,100,N,0.10249,0.10274,0.10299,0.47785,0.47785,0.07617,0.06043,0.20281,-0.04865,209.64,209.64999,208.53671,-0.00044,0,1.905,0,0,
SPY   160617C00210500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770259,5/26/2016 8:44:58 AM,1.62,248,M,5/26/2016 8:44:57 AM,1.64,10,I,0.09944,0.09994,0.10045,0.43838,0.43838,0.07727,0.0521,0.20076,-0.04667,209.64,209.64999,208.53671,-0.00044,0,1.63,0,0,
SPY   160617C00211000,5/26/2016 8:45:00 AM,5/26/2016 8:44:59 AM,3781666,5/26/2016 8:44:59 AM,1.38,82,Z,5/26/2016 8:44:59 AM,1.39,608,Z,0.0979,0.09816,0.09842,0.39815,0.39815,0.07725,0.04444,0.19706,-0.04498,209.64,209.64999,208.53671,-0.00044,0,1.385,0,0,
SPY   160617C00211500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770256,5/26/2016 8:44:57 AM,1.15,333,Q,5/26/2016 8:44:57 AM,1.17,186,I,0.09526,0.09579,0.09631,0.3573,0.3573,0.07635,0.04389,0.19141,-0.04228,209.64,209.64999,208.53671,-0.00044,0,1.16,0,0,
SPY   160617C00212000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770187,5/26/2016 8:44:58 AM,0.95,385,Q,5/26/2016 8:44:58 AM,0.97,411,Q,0.09333,0.09389,0.09446,0.31673,0.31673,0.07437,0.03638,0.1785,-0.03952,209.64,209.64999,208.53671,-0.00044,0,0.96,0,0,
SPY   160617C00212500,5/26/2016 8:45:00 AM,5/26/2016 8:44:59 AM,3777715,5/26/2016 8:44:59 AM,0.78,63,Z,5/26/2016 8:44:58 AM,0.79,1602,Q,0.09213,0.09241,0.09269,0.27672,0.27672,0.07112,0.03593,0.17651,-0.03652,209.63,209.64,208.5267,-0.00044,0,0.785,0,0,
SPY   160617C00213000,5/26/2016 8:45:00 AM,5/26/2016 8:44:59 AM,3781645,5/26/2016 8:44:59 AM,0.63,100,Z,5/26/2016 8:44:59 AM,0.64,2916,X,0.0902,0.09051,0.09083,0.23934,0.23934,0.06718,0.02893,0.15874,-0.03302,209.64,209.64999,208.53671,-0.00044,0,0.635,0,0,
SPY   160617C00213500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770194,5/26/2016 8:44:57 AM,0.5,107,Z,5/26/2016 8:44:57 AM,0.51,1392,X,0.08873,0.08909,0.08946,0.20349,0.20349,0.0623,0.02286,0.1495,-0.02956,209.64,209.64999,208.53671,-0.00044,0,0.505,0,0,
SPY   160617C00214000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770208,5/26/2016 8:44:57 AM,0.4,365,Q,5/26/2016 8:44:57 AM,0.41,776,Q,0.08802,0.08839,0.08876,0.17233,0.17233,0.05665,0.0225,0.13667,-0.02637,209.64,209.64999,208.53671,-0.00044,0,0.405,0,0,
SPY   160617C00214500,5/26/2016 8:45:00 AM,5/26/2016 8:44:31 AM,3680530,5/26/2016 8:44:29 AM,0.31,30,X,5/26/2016 8:44:29 AM,0.32,205,Z,0.08686,0.0873,0.08774,0.14238,0.14238,0.05051,0.01722,0.11767,-0.02284,209.62,209.63,208.51671,-0.00044,0,0.315,0,0,
SPY   160617C00215000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658888,5/26/2016 8:43:46 AM,0.24,335,Z,5/26/2016 8:43:46 AM,0.25,2044,X,0.08615,0.08667,0.08721,0.11704,0.11704,0.04448,0.01293,0.10857,-0.01973,209.62,209.63,208.51671,-0.00044,0,0.245,0,0,
SPY   160617C00215500,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658669,5/26/2016 8:43:25 AM,0.19,375,N,5/26/2016 8:43:25 AM,0.2,2238,X,0.08618,0.08672,0.08727,0.09698,0.09698,0.03878,0.01269,0.09285,-0.01714,209.62,209.63,208.51671,-0.00044,0,0.195,0,0,
SPY   160617C00216000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658780,5/26/2016 8:38:44 AM,0.15,375,N,5/26/2016 8:38:43 AM,0.16,1097,H,0.08619,0.08688,0.08758,0.07999,0.07999,0.0335,0.00922,0.08329,-0.01479,209.62,209.63,208.51671,-0.00044,0,0.155,0,0,
SPY   160617C00216500,5/26/2016 8:45:00 AM,5/26/2016 8:44:59 AM,3777515,5/26/2016 8:44:58 AM,0.12,10670,W,5/26/2016 8:44:58 AM,0.13,1000,Q,0.08692,0.08762,0.08831,0.06645,0.06645,0.02887,0.0091,0.0727,-0.0129,209.63,209.64,208.5267,-0.00044,0,0.125,0,0,
SPY   160617C00217000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658716,5/26/2016 8:36:18 AM,0.1,8250,W,5/26/2016 8:36:19 AM,0.11,1000,Q,0.08808,0.08899,0.0899,0.0565,0.0565,0.02499,0.00647,0.06526,-0.01147,209.62,209.63,208.51671,-0.00044,0,0.105,0,0,
SPY   160617C00217500,5/26/2016 8:45:00 AM,5/26/2016 8:44:36 AM,3707697,5/26/2016 8:44:36 AM,0.08,5694,W,5/26/2016 8:44:36 AM,0.09,1000,Q,0.0893,0.09022,0.09115,0.04671,0.04671,0.02122,0.00636,0.05585,-0.00995,209.59,209.60001,208.48671,-0.00044,0,0.085,0,0,
SPY   160617C00218000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658575,5/26/2016 8:36:18 AM,0.07,7358,W,5/26/2016 8:36:19 AM,0.08,1000,Z,0.09091,0.09214,0.09336,0.04121,0.04121,0.01876,0.00448,0.05178,-0.00915,209.62,209.63,208.51671,-0.00044,0,0.075,0,0,
SPY   160617C00218500,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658916,5/26/2016 8:42:50 AM,0.06,7101,W,5/26/2016 8:42:50 AM,0.07,1000,Q,0.09268,0.09393,0.09517,0.03578,0.03578,0.01638,0.00438,0.04623,-0.00827,209.62,209.63,208.51671,-0.00044,0,0.065,0,0,
SPY   160617C00219000,5/26/2016 8:45:00 AM,5/26/2016 8:44:36 AM,3707703,5/26/2016 8:44:35 AM,0.05,6421,X,5/26/2016 8:44:36 AM,0.06,1000,Q,0.09432,0.09594,0.0972,0.0305,0.0305,0.0141,0.00434,0.04072,-0.00739,209.59,209.60001,208.48671,-0.00044,0,0.055,0,0,
SPY   160617C00219500,5/26/2016 8:45:00 AM,5/26/2016 8:44:59 AM,3777524,5/26/2016 8:44:58 AM,0.05,40,Z,5/26/2016 8:44:58 AM,0.06,96,C,0.09795,0.09965,0.10108,0.02949,0.02949,0.01319,0.00306,0.03995,-0.00745,209.63,209.64,208.5267,-0.00044,0,0.055,0,0,
SPY   160617C00220000,5/26/2016 8:45:00 AM,5/26/2016 8:44:36 AM,3707699,5/26/2016 8:44:35 AM,0.04,5648,W,5/26/2016 8:44:36 AM,0.05,1000,Q,0.09874,0.1005,0.10225,0.02452,0.02452,0.01118,0.00292,0.03443,-0.00639,209.59,209.60001,208.48671,-0.00044,0,0.045,0,0,
SPY   160617C00221000,5/26/2016 8:45:00 AM,5/26/2016 8:44:56 AM,3769081,5/26/2016 8:44:56 AM,0.04,675,H,5/26/2016 8:44:51 AM,0.05,3296,X,0.10636,0.10812,0.10987,0.02301,0.02301,0.00985,0.00291,0.0322,-0.0065,209.62,209.63,208.51671,-0.00044,0,0.045,0,0,
SPY   160617C00222000,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397704,5/26/2016 8:33:54 AM,0.03,338,C,5/26/2016 8:33:54 AM,0.04,50,C,0.10965,0.11216,0.11456,0.0179,0.0179,0.00768,0.00196,0.02658,-0.00541,209.56,209.57001,208.45671,-0.00044,0,0.035,0,0,
SPY   160617C00222500,5/26/2016 8:45:00 AM,5/26/2016 8:44:56 AM,3769074,5/26/2016 8:44:56 AM,0.03,675,H,5/26/2016 8:44:53 AM,0.04,6606,W,0.11284,0.11536,0.11777,0.01746,0.01746,0.0073,0.00195,0.02593,-0.00544,209.62,209.63,208.51671,-0.00044,0,0.035,0,0,
SPY   160617C00223000,5/26/2016 8:45:00 AM,5/26/2016 8:44:56 AM,3769076,5/26/2016 8:44:56 AM,0.03,675,H,5/26/2016 8:44:52 AM,0.04,8052,X,0.11649,0.119,0.12143,0.01697,0.01697,0.00691,0.00194,0.02519,-0.00548,209.62,209.63,208.51671,-0.00044,0,0.035,0,0,
SPY   160617C00224000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658827,5/26/2016 8:37:20 AM,0.02,2702,H,5/26/2016 8:37:20 AM,0.04,6527,X,0.11732,0.12376,0.12872,0.01432,0.01432,0.00574,0.00189,0.02144,-0.0049,209.62,209.63,208.51671,-0.00044,0,0.03,0,0,
SPY   160617C00225000,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397901,5/26/2016 8:33:54 AM,0.02,675,H,5/26/2016 8:33:53 AM,0.03,6285,W,0.12456,0.12822,0.13146,0.01181,0.01181,0.00469,0.00127,0.01872,-0.00427,209.56,209.57001,208.45671,-0.00044,0,0.025,0,0,
SPY   160617C00226000,5/26/2016 8:45:00 AM,5/26/2016 8:44:56 AM,3769086,5/26/2016 8:44:56 AM,0.02,675,H,5/26/2016 8:44:53 AM,0.03,6639,W,0.13089,0.13457,0.13805,0.01131,0.01131,0.0043,0.00126,0.01786,-0.00431,209.62,209.63,208.51671,-0.00044,0,0.025,0,0,
SPY   160617C00227000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658690,5/26/2016 8:33:19 AM,0,0,W,5/26/2016 8:33:19 AM,0.03,807,T,0,0.13305,0.14484,0.00724,0.00724,0.00294,0.00078,0.01242,-0.00284,209.62,209.63,208.51671,-0.00044,0,0.015,0,0,
SPY   160617C00227500,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658656,5/26/2016 8:30:13 AM,0,0,A,5/26/2016 8:30:13 AM,0.03,1931,C,0,0.13622,0.14821,0.00708,0.00708,0.00282,0.00077,0.01214,-0.00285,209.62,209.63,208.51671,-0.00044,0,0.015,0,0,
SPY   160617C00228000,5/26/2016 8:45:00 AM,5/26/2016 8:44:56 AM,3769077,5/26/2016 8:44:22 AM,0,0,B,5/26/2016 8:44:56 AM,0.02,27,Z,0,0.13359,0.14433,0.00501,0.00501,0.00211,0.00071,0.00904,-0.00204,209.62,209.63,208.51671,-0.00044,0,0.01,0,0,
SPY   160617C00229000,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397716,5/26/2016 8:33:19 AM,0,0,N,5/26/2016 8:33:19 AM,0.02,3575,X,0,0.14013,0.15138,0.0048,0.0048,0.00194,0.00049,0.00876,-0.00205,209.56,209.57001,208.45671,-0.00044,0,0.01,0,0,
SPY   160617C00230000,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397836,5/26/2016 8:33:19 AM,0,0,N,5/26/2016 8:33:19 AM,0.02,3582,X,0,0.1461,0.15773,0.00462,0.00462,0.0018,0.00049,0.00842,-0.00206,209.56,209.57001,208.45671,-0.00044,0,0.01,0,0,
SPY   160617C00231000,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397819,5/26/2016 8:33:19 AM,0,0,W,5/26/2016 8:33:19 AM,0.02,3588,X,0,0.15203,0.16401,0.00446,0.00446,0.00167,0.00048,0.00809,-0.00208,209.56,209.57001,208.45671,-0.00044,0,0.01,0,0,
SPY   160617C00232000,5/26/2016 8:45:00 AM,5/26/2016 8:44:56 AM,3769085,5/26/2016 8:44:32 AM,0,0,J,5/26/2016 8:44:56 AM,0.01,675,H,0,0.14729,0.15754,0.00244,0.00244,0.001,0.00027,0.00486,-0.00115,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00232500,5/26/2016 8:45:00 AM,5/26/2016 8:44:56 AM,3769082,5/26/2016 8:44:22 AM,0,0,B,5/26/2016 8:44:56 AM,0.01,675,H,0,0.15008,0.16047,0.0024,0.0024,0.00097,0.00026,0.00477,-0.00115,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00233000,5/26/2016 8:45:00 AM,5/26/2016 8:44:56 AM,3769083,5/26/2016 8:44:56 AM,0,0,Z,5/26/2016 8:44:56 AM,0.01,675,H,0,0.15285,0.1634,0.00236,0.00236,0.00094,0.00026,0.00468,-0.00115,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00234000,5/26/2016 8:45:00 AM,5/26/2016 8:44:56 AM,3769075,5/26/2016 8:44:35 AM,0,0,Z,5/26/2016 8:44:56 AM,0.01,675,H,0,0.15838,0.16924,0.00229,0.00229,0.00088,0.00026,0.00451,-0.00116,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00235000,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397894,5/26/2016 8:30:14 AM,0,0,N,5/26/2016 8:30:14 AM,0.01,450,Z,0,0.16425,0.17545,0.00221,0.00221,0.00082,0.00026,0.00432,-0.00116,209.56,209.57001,208.45671,-0.00044,0,0.005,0,0,
SPY   160617C00236000,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397862,5/26/2016 8:33:50 AM,0,0,M,5/26/2016 8:33:50 AM,0.01,5399,W,0,0.16974,0.18123,0.00215,0.00215,0.00077,0.00026,0.00416,-0.00117,209.56,209.57001,208.45671,-0.00044,0,0.005,0,0,
SPY   160617C00237000,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397690,5/26/2016 8:33:50 AM,0,0,M,5/26/2016 8:33:50 AM,0.01,5400,W,0,0.17518,0.18698,0.00209,0.00209,0.00073,0.00026,0.00399,-0.00118,209.56,209.57001,208.45671,-0.00044,0,0.005,0,0,
SPY   160617C00237500,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397889,5/26/2016 8:33:50 AM,0,0,M,5/26/2016 8:33:50 AM,0.01,5400,W,0,0.17789,0.18985,0.00206,0.00206,0.00071,0.00026,0.00391,-0.00118,209.56,209.57001,208.45671,-0.00044,0,0.005,0,0,
SPY   160617C00238000,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397913,5/26/2016 8:33:52 AM,0,0,Z,5/26/2016 8:33:53 AM,0.01,3600,X,0,0.1806,0.1927,0.00203,0.00203,0.00069,0.00026,0.00383,-0.00118,209.56,209.57001,208.45671,-0.00044,0,0.005,0,0,
SPY   160617C00239000,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397872,5/26/2016 8:33:53 AM,0,0,B,5/26/2016 8:33:54 AM,0.01,338,C,0,0.186,0.19841,0.00198,0.00198,0.00065,0.00025,0.00375,-0.00119,209.56,209.57001,208.45671,-0.00044,0,0.005,0,0,
SPY   160617C00240000,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397769,5/26/2016 8:33:50 AM,0,0,A,5/26/2016 8:33:50 AM,0.01,5400,W,0,0.19138,0.20408,0.00193,0.00193,0.00062,0.00025,0.00371,-0.00119,209.56,209.57001,208.45671,-0.00044,0,0.005,0,0,
SPY   160617C00242500,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397864,5/26/2016 8:33:50 AM,0,0,A,5/26/2016 8:33:50 AM,0.01,5400,W,0,0.20458,0.21792,0.00181,0.00181,0.00055,0.00019,0.00358,-0.0012,209.56,209.57001,208.45671,-0.00044,0,0.005,0,0,
SPY   160617C00245000,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397810,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,250,X,0,0.21731,0.23134,0.00172,0.00172,0.00049,0.00019,0.00335,-0.00121,209.56,209.57001,208.45671,-0.00044,0,0.005,0,0,
SPY   160617C00250000,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397940,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,5000,X,0,0.24229,0.25765,0.00155,0.00155,0.0004,0.00018,0.00291,-0.00123,209.56,209.57001,208.45671,-0.00044,0,0.005,0,0,
SPY   160617C00255000,5/26/2016 8:45:00 AM,5/26/2016 8:43:18 AM,3397790,5/26/2016 8:33:19 AM,0,0,W,5/26/2016 8:33:19 AM,0.01,807,T,0,0.26666,0.28333,0.00142,0.00142,0.00034,0.00017,0.0026,-0.00124,209.56,209.57001,208.45671,-0.00044,0,0.005,0,0,
SPY   160617C00260000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658640,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,0.29016,0.30806,0.00132,0.00132,0.00029,0.00016,0.0025,-0.00126,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00265000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658671,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,0.31336,0.33231,0.00123,0.00123,0.00025,0.00013,0.00239,-0.00127,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00270000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658920,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,0.33567,0.35573,0.00116,0.00116,0.00022,0.00013,0.00219,-0.00128,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00275000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658578,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,0.35745,0.37861,0.00109,0.00109,0.0002,0.00012,0.00199,-0.00129,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00280000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658573,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4528,X,0,0.37875,0.40097,0.00104,0.00104,0.00018,0.00012,0.00186,-0.0013,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00285000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658841,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,0.39962,0.42287,0.00099,0.00099,0.00016,0.00011,0.00179,-0.00131,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00290000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658644,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,0.42006,0.44432,0.00094,0.00094,0.00015,0.00011,0.00174,-0.00132,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00295000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658871,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,0.4401,0.46533,0.00091,0.00091,0.00013,0.00011,0.00169,-0.00133,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00300000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658684,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,0.45976,0.48584,0.00087,0.00087,0.00012,0.00011,0.00165,-0.00134,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00305000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658595,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,0.47885,0.50577,0.00084,0.00084,0.00012,9E-05,0.00158,-0.00134,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00310000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658774,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,0.49751,0.5253,0.00081,0.00081,0.00011,9E-05,0.00151,-0.00135,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617C00315000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658911,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,0.51582,0.54445,0.00079,0.00079,0.0001,9E-05,0.00143,-0.00136,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617P00050000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658625,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,1.75139,1.84533,-0.00022,-0.00022,1E-05,-3E-05,0.00041,-0.00139,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617P00055000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658617,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,1.63671,1.72468,-0.00023,-0.00023,1E-05,-3E-05,0.00044,-0.00139,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617P00060000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658831,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,1.53226,1.61482,-0.00025,-0.00025,1E-05,-3E-05,0.00047,-0.00139,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
SPY   160617P00065000,5/26/2016 8:45:00 AM,5/26/2016 8:44:30 AM,3658739,5/26/2016 8:30:00 AM,0,0,X,5/26/2016 8:30:00 AM,0.01,4500,X,0,1.43635,1.51397,-0.00027,-0.00027,1E-05,-3E-05,0.0005,-0.00138,209.62,209.63,208.51671,-0.00044,0,0.005,0,0,
